2018-09-21,	1.5197,	1.1759,	8.0503,	0.894,	84.8905
2019-03-11,	1.5093,	1.1244,	7.5612,	0.8624,	78.547
2018-06-18,	1.5307,	1.1613,	7.478,	0.87655,	79.0145
2018-10-12,	1.5054,	1.1574,	8.0043,	0.8764,	85.1445
2019-01-11,	1.5247,	1.1533,	7.7922,	0.90015,	81.3475
2019-03-25,	1.5204,	1.1325,	7.6015,	0.85638,	78.046
2018-06-26,	1.5549,	1.1672,	7.6749,	0.8816,	79.7095
2018-04-19,	1.5606,	1.2382,	7.7717,	0.86975,	81.458
2019-02-15,	1.4959,	1.126,	7.6236,	0.87938,	80.361
2018-05-31,	1.5038,	1.1699,	7.4951,	0.8768,	78.802
2018-09-18,	1.5237,	1.1697,	8.0317,	0.88963,	85.361
2018-07-18,	1.5389,	1.1611,	7.8042,	0.89118,	79.684
2019-01-08,	1.5208,	1.144,	7.8405,	0.89743,	80.245
2018-11-08,	1.4972,	1.1424,	7.9192,	0.87163,	82.7195
2018-10-16,	1.501,	1.1587,	8.0095,	0.87593,	85.12
2019-02-13,	1.4972,	1.1305,	7.6474,	0.87553,	80.066
2018-05-11,	1.5197,	1.1934,	7.5572,	0.88,	80.36
2018-04-16,	1.5596,	1.237,	7.7726,	0.86465,	81.0175
2018-07-30,	1.5245,	1.1684,	7.9712,	0.8907,	80.1965
2018-12-21,	1.5459,	1.1414,	7.8825,	0.90215,	80.04
2019-01-10,	1.5251,	1.1535,	7.8213,	0.90423,	81.2005
2018-07-17,	1.5403,	1.1707,	7.8324,	0.88725,	80.1405
2019-03-12,	1.5111,	1.1275,	7.5643,	0.86145,	78.5175
2019-03-06,	1.5128,	1.1305,	7.5857,	0.8597,	79.432
2018-12-13,	1.5193,	1.1371,	7.8246,	0.89848,	81.428
2018-11-05,	1.4887,	1.137,	7.878,	0.87535,	83.092
2018-07-03,	1.5344,	1.1665,	7.7481,	0.8835,	79.931
2018-11-12,	1.4873,	1.1265,	7.8447,	0.87563,	82.1106
2018-05-30,	1.5093,	1.1632,	7.4673,	0.875,	78.388
2019-01-21,	1.5117,	1.1362,	7.7238,	0.88303,	80.9335
2019-02-07,	1.505,	1.1345,	7.652,	0.8775,	81.0855
2018-06-05,	1.5158,	1.1675,	7.477,	0.8739,	78.3975
2019-01-02,	1.5547,	1.1397,	7.8165,	0.90165,	79.9855
2018-08-16,	1.4942,	1.137,	7.8396,	0.89498,	79.807
2018-09-10,	1.5268,	1.1571,	7.9413,	0.8934,	83.8375
2018-05-14,	1.5301,	1.1988,	7.5973,	0.8824,	80.9545
2019-02-06,	1.502,	1.1394,	7.685,	0.8787,	81.5535
2018-11-29,	1.5117,	1.1387,	7.9063,	0.89135,	79.537
2018-04-17,	1.5511,	1.2357,	7.7639,	0.8628,	81.108
2018-08-21,	1.4978,	1.1502,	7.8748,	0.8974,	80.3015
2018-10-30,	1.4941,	1.1372,	7.9203,	0.89148,	83.728
2018-05-25,	1.5126,	1.1675,	7.4611,	0.8754,	79.1505
2018-11-01,	1.4904,	1.1393,	7.9046,	0.88173,	83.68
2018-12-03,	1.4931,	1.1332,	7.8074,	0.8915,	79.791
2018-08-22,	1.5126,	1.1616,	7.947,	0.89928,	81.19
2018-06-01,	1.5142,	1.1669,	7.4883,	0.8768,	78.314
2018-05-22,	1.5066,	1.1794,	7.5112,	0.87688,	80.2105
2018-06-29,	1.5442,	1.1658,	7.717,	0.88605,	79.813
2018-05-18,	1.5074,	1.1781,	7.5147,	0.87325,	80.1115
2018-05-09,	1.5299,	1.1879,	7.5628,	0.87445,	79.901
